"height","width","height_ini","row","col","deer","fert","spacing","cover"
181,86,13,43,11,0,1,10,3
478,246,12,43,12,0,1,10,3
502,260,15,43,14,0,0,10,2
387,205,20,43,15,0,0,10,2
417,224,16,43,16,0,0,10,2
393,195,18,43,17,0,0,10,2
507,253,17,43,18,0,0,10,2
453,270,10,43,20,1,0,10,2
403,208,19,43,21,1,0,10,1
427,213,20,43,22,1,0,10,1
383,201,19,43,23,1,0,10,2
417,178,11,43,24,0,0,10,3
408,178,20,43,25,1,0,10,1
266,65,12.5,43,26,0,0,10,1
353,208,22,43,27,1,0,10,3
246,188,19,44,1,1,1,10,0
394,185,21,44,2,1,1,10,2
496,194,27,44,3,1,1,10,3
515,252,10,44,4,1,1,10,2
361,158,21,44,5,1,1,10,2
461,224,12,44,6,1,1,10,2
439,219,31,44,7,1,1,10,0
389,161,25,44,8,1,1,10,3
160,113,20,44,9,0,1,10,3
416,248,20,44,10,1,1,10,2
381,190,32,44,12,1,1,10,3
275,110,32,44,13,1,1,10,2
325,147,26,44,14,1,0,10,2
468,227,25,44,15,1,0,10,1
433,252,24,44,16,1,0,10,2
402,198,16,44,17,0,0,10,1
282,135,16,44,18,1,0,10,2
422,178,25,44,19,0,0,10,1
324,228,22,44,20,1,0,10,0
334,226,19,44,21,1,0,10,3
287,116,21,44,22,1,0,10,0
448,229,17,44,23,1,0,10,1
388,206,20,44,24,1,0,10,1
381,241,11,44,25,1,0,10,0
263,127,19,44,26,1,0,10,0
